ontology,count,priority
PR,45,1
DRON,3,2
CHEBI,2,3
dinto,35,4
fma,10,5
GO,2,6
FOODON,1,7
VO,1,8
XCO,1,9
FBbi,1,10
IDOMAL,7,11
NDFRT,65,12
