PK_LAB_RESULT_ITEM_ID,obo,molent,ion,specimen_obo,POC,total,indirect,direct,random,method,notes
11139006,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
167316,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
2750002,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
11809013,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
15192003,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
20882006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171142,CHEBI:168396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4861742,CHEBI:168396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845112,CHEBI:168396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862149,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,There are multiple forms. I ahven't been able to find a parent.CHEBI:16990 is 'bilirubin Ix_'
170471,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,see 'Bili Total'
4861149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4858148,CHEBI:16990,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,see 'Bili Total'
159164,CHEBI:16990,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,see 'Bili Total'
165387,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,see 'Bili Total'
11842161,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,see 'Bili Total'
159200,CHEBI:16990,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,see 'Bili Total'
170472,CHEBI:16990,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,see 'Bili Total'
163038,CHEBI:16990,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,see 'Bili Total'
163035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4859148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159984,CHEBI:16990,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,see 'Bili Total'
171292,CHEBI:16990,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,see 'Bili Total'
4859892,CHEBI:8107,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
160602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842038,CHEBI:16990,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,see 'Bili Total'
164091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844115,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,see 'Bili Total'
171094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410005,CHEBI:16990,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,see 'Bili Total'
11842139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1409005,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,see 'Bili Total'
11428007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408005,CHEBI:16990,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,see 'Bili Total'
9688010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11922736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11921853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9657004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11878005,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,see 'Bili Total'
170901,CHEBI:16990,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,see 'Bili Total'
1412005,CHEBI:16990,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,see 'Bili Total'
11917954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414006,CHEBI:16990,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,see 'Bili Total'
11927127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163416,CHEBI:17230,NA,NA,UBERON:0001969,NA,TRUE,NA,NA,NA,NA,NA
4862582,CHEBI:17230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4527018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4859910,CHEBI:17234,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
