PK_LAB_RESULT_ITEM_ID,obo
11845122,CHEBI:16526
4857317,CHEBI:16737
170473,CHEBI:16737
231351,CHEBI:16737
11845047,CHEBI:16737
159920,CHEBI:16737
4864248,CHEBI:16737
11917675,CHEBI:16737
230411,CHEBI:16737
170753,CHEBI:16737
159927,CHEBI:16737
11924791,CHEBI:16737
4865248,CHEBI:16737
11841198,CHEBI:16737
226419,CHEBI:16737
163953,CHEBI:16737
165321,CHEBI:16737
4860318,CHEBI:16737
18047007,CHEBI:16737
4855317,CHEBI:16737
11809003,CHEBI:16737
226446,CHEBI:16737
166728,CHEBI:16737
11917786,CHEBI:16737
170556,CHEBI:16737
14632003,CHEBI:16737
170559,CHEBI:16737
237084,CHEBI:16737
11845278,CHEBI:16737
11925988,CHEBI:16737
20397008,CHEBI:16737
235570,CHEBI:16737
4861318,CHEBI:16737
639007,CHEBI:16737
11845011,CHEBI:16737
772009,CHEBI:16737
170843,CHEBI:16737
18080018,CHEBI:16737
227680,CHEBI:16737
228680,CHEBI:16737
20390005,CHEBI:16737
13188003,CHEBI:16737
679009,CHEBI:16737
230440,CHEBI:16737
227645,CHEBI:16737
11842039,CHEBI:16737
159994,CHEBI:16737
11843278,CHEBI:16737
11841278,CHEBI:16737
234645,CHEBI:16737
11841086,CHEBI:16737
11807012,CHEBI:16737
11843150,CHEBI:16737
2313002,CHEBI:16737
11843281,CHEBI:16737
11845277,CHEBI:16737
1300005,CHEBI:16737
11912035,CHEBI:16737
11843277,CHEBI:16737
11844277,CHEBI:16737
681004,CHEBI:16737
11808006,CHEBI:16737
11911049,CHEBI:16737
1189004,CHEBI:16737
11914015,CHEBI:16737
171994,CHEBI:16737
11845370,CHEBI:16737
8184037,CHEBI:16737
11911375,CHEBI:16737
13642020,CHEBI:16737
11810013,CHEBI:16737
11921101,CHEBI:16737
11842282,CHEBI:16737
11843282,CHEBI:16737
3029003,CHEBI:16737
11922710,CHEBI:16737
11919985,CHEBI:16737
11924936,CHEBI:16737
637009,CHEBI:16737
11841325,CHEBI:16737
5024008,CHEBI:16737
5030005,CHEBI:16737
11844279,CHEBI:16737
11845279,CHEBI:16737
11919915,CHEBI:16737
8737195,CHEBI:16737
8737197,CHEBI:16737
11920508,CHEBI:16737
11841421,CHEBI:16737
11917236,CHEBI:16737
11925105,CHEBI:16737
171522,CHEBI:16737
8735198,CHEBI:16737
638008,CHEBI:16737
4528025,CHEBI:16737
11916689,CHEBI:16737
