"","PartTypeName.x","PartTypeVal","pds.count","PartTypeName.y","PartName","PartDisplayName","Status"
"2228","PROPERTY","LP6870-2",101.111111111111,"PROPERTY","Susc","Susceptibility (microorganisms)","ACTIVE"
"2229","PROPERTY","LP6872-8",1272380,"PROPERTY","Temp","Temperature","ACTIVE"
"2230","PROPERTY","LP6879-3",400198.761904762,"PROPERTY","Time","Time (e.g. seconds)","ACTIVE"
"2231","PROPERTY","LP6881-9",623.090909090909,"PROPERTY","Titr","Titer","ACTIVE"
"2232","PROPERTY","LP6882-7",22990.4285714286,"PROPERTY","TmStp","Time Stamp (Date and Time)","ACTIVE"
"2233","PROPERTY","LP6884-3",2281,"PROPERTY","TRto","Time Ratio","ACTIVE"
"2234","PROPERTY","LP6885-0",48809.5,"PROPERTY","Txt","Text","ACTIVE"
"2235","PROPERTY","LP6886-8",103860,"PROPERTY","Type","Type","ACTIVE"
"2236","PROPERTY","LP6888-4",215399.5,"PROPERTY","Vel","Velocity (distance/time)","ACTIVE"
"2237","PROPERTY","LP6891-8",1857214.875,"PROPERTY","VFr","Volume Fraction","ACTIVE"
"2238","PROPERTY","LP6892-6",5359,"PROPERTY","Visc","Viscosity","ACTIVE"
"2239","PROPERTY","LP6893-4",68287.6,"PROPERTY","Vol","Volume","ACTIVE"
"2240","PROPERTY","LP6895-9",4623.66666666667,"PROPERTY","VRat","Volume Rate","ACTIVE"
"2259","PROPERTY","LP70220-6",436165.461538462,"PROPERTY","LsCnc","Log molar concentration","ACTIVE"
"2289","PROPERTY","LP71590-1",532.428571428571,"PROPERTY","MoM","Multiple of the median","ACTIVE"
